date	United States	South Korea	Italy	China
2019-12-31	0.0	0.0	0.0	27.0
2020-01-01	0.0	0.0	0.0	0.0
2020-01-02	0.0	0.0	0.0	0.0
2020-01-03	0.0	0.0	0.0	17.0
2020-01-04	0.0	0.0	0.0	0.0
2020-01-05	0.0	0.0	0.0	15.0
2020-01-06	0.0	0.0	0.0	0.0
2020-01-07	0.0	0.0	0.0	0.0
2020-01-08	0.0	0.0	0.0	0.0
2020-01-09	0.0	0.0	0.0	0.0
2020-01-10	0.0	0.0	0.0	0.0
2020-01-11	0.0	0.0	0.0	0.0
2020-01-12	0.0	0.0	0.0	0.0
2020-01-13	0.0	0.0	0.0	0.0
2020-01-14	0.0	0.0	0.0	0.0
2020-01-15	0.0	0.0	0.0	0.0
2020-01-16	0.0	0.0	0.0	0.0
2020-01-17	0.0	0.0	0.0	4.0
2020-01-18	0.0	0.0	0.0	17.0
2020-01-19	0.0	0.0	0.0	136.0
2020-01-20	0.0	1.0	0.0	19.0
2020-01-21	1.0	0.0	0.0	151.0
2020-01-22	0.0	0.0	0.0	140.0
2020-01-23	0.0	0.0	0.0	97.0
2020-01-24	0.0	1.0	0.0	259.0
2020-01-25	1.0	0.0	0.0	441.0
2020-01-26	0.0	1.0	0.0	665.0
2020-01-27	3.0	1.0	0.0	787.0
2020-01-28	0.0	0.0	0.0	1753.0
2020-01-29	0.0	0.0	0.0	1466.0
2020-01-30	0.0	0.0	0.0	1740.0
2020-01-31	1.0	3.0	3.0	1980.0
2020-02-01	1.0	5.0	0.0	2095.0
2020-02-02	1.0	3.0	0.0	2590.0
2020-02-03	3.0	0.0	0.0	2812.0
2020-02-04	0.0	1.0	0.0	3237.0
2020-02-05	0.0	2.0	0.0	3872.0
2020-02-06	1.0	5.0	0.0	3727.0
2020-02-07	0.0	1.0	0.0	3160.0
2020-02-08	0.0	0.0	0.0	3418.0
2020-02-09	0.0	1.0	0.0	2607.0
2020-02-10	0.0	2.0	0.0	2974.0
2020-02-11	1.0	1.0	0.0	2490.0
2020-02-12	0.0	0.0	0.0	2028.0
2020-02-13	1.0	0.0	0.0	15141.0
2020-02-14	1.0	0.0	0.0	4156.0
2020-02-15	0.0	0.0	0.0	2538.0
2020-02-16	0.0	1.0	0.0	2007.0
2020-02-17	0.0	1.0	0.0	2052.0
2020-02-18	0.0	1.0	0.0	1890.0
2020-02-19	0.0	15.0	0.0	1750.0
2020-02-20	0.0	34.0	0.0	394.0
2020-02-21	1.0	75.0	0.0	891.0
2020-02-22	19.0	190.0	14.0	826.0
2020-02-23	0.0	256.0	62.0	647.0
2020-02-24	0.0	161.0	53.0	218.0
2020-02-25	18.0	130.0	97.0	515.0
2020-02-26	0.0	254.0	93.0	410.0
2020-02-27	6.0	449.0	78.0	439.0
2020-02-28	1.0	427.0	250.0	329.0
2020-02-29	6.0	909.0	238.0	428.0
2020-03-01	3.0	595.0	240.0	574.0
2020-03-02	20.0	686.0	561.0	205.0
2020-03-03	14.0	600.0	347.0	127.0
2020-03-04	22.0	516.0	466.0	119.0
2020-03-05	34.0	438.0	587.0	117.0
